variable,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
id,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,v4,RESPONDENT_ID,V6,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID
form_id,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3,v3
weight,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,v5,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT
sex,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v150,v2150,v2150,v2150,v2150,v2150,v2150,v2150
race2,v151,v151,v151,v151,v151,v151,v151,v151,v151,v151,v151,v151,v151,v151,.,.,.,.,.,.,.,.,.,.,.,.,.,.
race3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,v151,v151,v151,v151,v151,v151,v151,v2151,v2151,v2151,v2151,v2151,v2151,v2151
dad_edu,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v163,v2163,v2163,v2163,v2163,v2163,v2163,v2163
mom_edu,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v164,v2164,v2164,v2164,v2164,v2164,v2164,v2164
gpa,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v179,v2179,v2179,v2179,v2179,v2179,v2179,v2179
