variable,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
lonely,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313,v5313
leftout,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317,v5317
wishfrd,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321,v5321
pos_att,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303,v5303
eq_worth,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305,v5305
wellothers,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306,v5306
satisfied,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310,v5310
notproud,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314,v5314
nogood,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316,v5316
nothingright,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320,v5320
notuseful,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323,v5323
nolifemean,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,v5580,v5580
enjoylife,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,v5581,v5581
fut_nohope,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,v5583,v5583
goodalive,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,v5585,v5585
